id,price,neighbourhood_cleansed,room_type,bedrooms,bathrooms,accommodates,amenities,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,longitude,latitude,name,description,sentiment_score
38684015,554.0,Södermalms,Entire home/apt,0.0,1.0,1,"[""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Long term stays allowed"", ""Host greets you"", ""Wifi"", ""Pets allowed"", ""Iron"", ""Essentials"", ""Washer \u2013\u00a0In building"", ""Kitchen"", ""Elevator"", ""Smoke alarm"", ""TV"", ""Cleaning products"", ""Dishes and silverware"", ""Paid parking off premises"", ""Ethernet connection"", ""Heating"", ""Hot water"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Refrigerator"", ""Microwave"", ""Coffee maker""]",21,90,25,4.88,18.09095,59.30893,Studio in trendy Södermalm by Vitan,"Super cozy studio flat in the heart of Södermalm with a great view of Vitabergsparken. A perfect place to stay if you want to explore the urban, hip and arty side of SoFo. <br /><br />The studio has its kitchenette and mini bathroom (know as a Stockholm shower).",1.0
49782418,850.0,Södermalms,Private room,1.0,2.0,2,"[""Hair dryer"", ""Iron"", ""Dishes and silverware"", ""Kitchen"", ""Heating"", ""Refrigerator"", ""Private entrance"", ""Wifi"", ""Coffee maker"", ""Cooking basics"", ""Lock on bedroom door"", ""Fire extinguisher""]",1,8,26,4.08,18.07555,59.32185,Gold Bridge,The hostel is located in the old town on the best street in Stockholm,0.9411764705882353
1140665915754103621,363.0,Enskede-Årsta-Vantörs,Private room,1.0,1.0,2,"[""Outdoor dining area"", ""Dedicated workspace"", ""Pets allowed"", ""Kitchen"", ""BBQ grill"", ""Exercise equipment"", ""Free parking on premises"", ""Lock on bedroom door""]",1,1125,3,4.0,18.04878931492567,59.27457114042168,Örbyleden söder om Globen,Relax with the whole family in this peaceful home.,1.0
34355947,1482.0,Kungsholmens,Entire home/apt,2.0,1.5,6,"[""Hair dryer"", ""Hangers"", ""Long term stays allowed"", ""Lockbox"", ""Single level home"", ""Wifi"", ""Exterior security cameras on property"", ""Iron"", ""Essentials"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Freezer"", ""Smoke alarm"", ""Waterfront"", ""Dishes and silverware"", ""Hot water kettle"", ""Heating"", ""Hot water"", ""Shampoo"", ""Bed linens"", ""Stove"", ""Patio or balcony"", ""Oven"", ""Toaster"", ""Refrigerator"", ""Private entrance"", ""Microwave"", ""Self check-in"", ""Coffee maker""]",1,365,57,4.58,17.998589726118627,59.33059301226319,Spacious 2BR Apt. with private balcony,,0.9615384615384616
929562748638741282,1200.0,Hägersten-Liljeholmens,Entire home/apt,1.0,1.0,3,"[""Kitchen"", ""TV"", ""Wifi""]",3,365,8,4.63,17.997682502153545,59.3077000716993,Unikt designhem,"Cozy apartment centrally located in Aspudden with close connection to the metro 10min from central Stockholm. Quiet area with plenty of restaurants, swimming and parks. The apartment is tastefully decorated with design from several famous designers.",1.0
1308680900181241273,460.0,Hässelby-Vällingby,Entire home/apt,1.0,1.0,2,"[""Washer"", ""Kitchen"", ""Wifi""]",28,365,0,,17.872931,59.36118939999999,Cozy studio close to the metro,"35 square meters fully furnished apartment with newly renovated kitchen, double bed for you, double sofa bed for guests, small balcony, shared laundry room, shared bike room and private storage.<br /><br />Perfect for anyone looking for a quiet and nice looking area a few steps away from nature and all possible amenities (metro, shops, restaurants, cafes).",
42455869,2500.0,Kungsholmens,Entire home/apt,1.0,1.0,4,"[""Washer"", ""Hair dryer"", ""Hangers"", ""TV"", ""First aid kit"", ""Pets allowed"", ""Kitchen"", ""Heating"", ""Private entrance"", ""Wifi"", ""Breakfast"", ""Free parking on premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Dryer""]",1,90,0,,17.9917,59.32356,Spacious modern flat with rooftop terrace!,"Spacious and modern one bedroom apartment with south-facing roof terrace. Located on a beautiful island close to city center!<br /><br />Bedroom has one bed that can be shared by two people. Folding bed and sofa available for additional guests.<br /><br />The large and modern bathroom is equipped with a bathtub/shower, washing machine and tumble dryer.<br /><br />Fully equipped kitchen, including a dishwasher, is available for cooking.",
583272771680469335,1050.0,Södermalms,Entire home/apt,1.0,1.0,2,"[""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Long term stays allowed"", ""Bathtub"", ""Wifi"", ""Clothing storage: walk-in closet and dresser"", ""Essentials"", ""Dining table"", ""Arket body soap"", ""Free washer \u2013 In building"", ""Bluetooth sound system"", ""Kitchen"", ""Elevator"", ""Freezer"", ""Board games"", ""Coffee maker: french press, pour-over coffee"", ""Free dryer \u2013 In building"", ""Courtyard view"", ""Smoke alarm"", ""Cleaning products"", ""Dishes and silverware"", ""Shared beach access"", ""Hot water"", ""Gas stove"", ""Cooking basics"", ""Bed linens"", ""Baking sheet"", ""Extra pillows and blankets"", ""Exercise equipment: yoga mat"", ""Oven"", ""Blender"", ""Books and reading material"", ""Portable fans"", ""Refrigerator"", ""Microwave"", ""Paid street parking off premises"", ""Shared patio or balcony"", ""Shower gel""]",14,100,6,4.83,18.03019,59.31728,Light one-bed apartment in  popular Södermalm.,"Light city apartment in the popular area of Södermalm. You will have closeness to water and nearby jetties, lots of restaurants and cafés. Two outdoor gyms just around the corner and beautiful promenades along the water. <br />The area is known for its hip and vivid atmosphere. This is the perfect place for embracing a Stockholm summer.<br /><br />The 37 sqm apartment consists of a bedroom with one bed (1.20 m wide), a small dining space, fully equipped kitchen and bathroom w bathtub.",0.6666666666666666
4224411,495.0,Kungsholmens,Private room,1.0,1.5,1,"[""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Private patio or balcony"", ""Lake access"", ""Long term stays allowed"", ""Host greets you"", ""Single level home"", ""Wifi"", ""Luggage dropoff allowed"", ""Cleaning available during stay"", ""Sun loungers"", ""Iron"", ""Essentials"", ""Dining table"", ""Exercise equipment: free weights, yoga mat"", ""Kitchen"", ""Elevator"", ""Freezer"", ""Coffee"", ""Conditioner"", ""Body soap"", ""Coffee maker: french press, pour-over coffee"", ""Shared backyard \u2013 Fully fenced"", ""Courtyard view"", ""Smoke alarm"", ""Outdoor furniture"", ""City skyline view"", ""Waterfront"", ""Paid parking off premises"", ""Garden view"", ""Cleaning products"", ""Dishes and silverware"", ""Hot water kettle"", ""Hot water"", ""Mini fridge"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Cooking basics"", ""Bed linens"", ""Baking sheet"", ""Extra pillows and blankets"", ""Oven"", ""Toaster"", ""Blender"", ""Park view"", ""Drying rack for clothing"", ""Books and reading material"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Pocket wifi"", ""Central heating"", ""Stainless steel electric stove"", ""Outdoor dining area"", ""Refrigerator"", ""Microwave"", ""Beach access \u2013 Beachfront"", ""Dishwasher"", ""Laundromat nearby"", ""Shower gel""]",1,1125,185,4.84,18.03524,59.3346,Quiet room in the city centre,"Nice room in quiet apartment on the sixth floor. You have a 90 cm bed, your private WC, shared bath and kitchen. You also have your private fridge, micro-owen and kettle in the room. A desk and chair for work.<br />Check in between 15:00 and 22:00 pm. Check out 12:00 (mid day).",0.9924812030075187
50964932,1764.0,Södermalms,Entire home/apt,1.0,1.0,2,"[""First aid kit"", ""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Long term stays allowed"", ""Smart lock"", ""Wifi"", ""Luggage dropoff allowed"", ""Paid standalone high chair - available upon request"", ""Iron"", ""Essentials"", ""Dining table"", ""Free washer \u2013 In building"", ""Kitchen"", ""Coffee"", ""Free dryer \u2013 In building"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Smoke alarm"", ""Fire extinguisher"", ""TV"", ""Cleaning products"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking off premises"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Shampoo"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Bed linens"", ""Extra pillows and blankets"", ""Rituals conditioner"", ""Toaster"", ""Rituals body soap"", ""Stainless steel electric stove"", ""Dedicated workspace"", ""Refrigerator"", ""Private entrance"", ""Microwave"", ""Self check-in"", ""Shower gel"", ""Coffee maker""]",4,182,112,4.85,18.06874,59.32071,Beautiful apartment in Stockholm City,"This charming 33 SQM apartment is located in a quiet area between the Old Town and the vibrant district of Södermalm. The apartment offers free Wi-Fi, a flat-screen TV and a fully equipped kitchenette. You live just a minute from restaurants, shops and public transport. The apartment are located in a building from the 1650s. The apartment have high ceiling and stucco. There is also a dining table and a modern bathroom with a shower.",1.0
25422745,380.0,Skarpnäcks,Private room,1.0,1.0,1,"[""Washer"", ""Hair dryer"", ""Hangers"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Wifi"", ""Iron"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Smoke alarm"", ""Dryer"", ""Paid parking off premises"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Lock on bedroom door"", ""Oven"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Refrigerator"", ""Free street parking"", ""Coffee maker""]",1,1125,87,4.79,18.13105,59.28108,The Room!,Cosy room to rent in Bagarmossen 4 min walk to shops/underground and 14 min by underground to the city (Tcentralen). Apartment is next to amazing nature great for swiming/iceskating depending on season!,0.9841269841269841
18052233,665.0,Bromma,Entire home/apt,1.0,1.0,4,"[""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Private patio or balcony"", ""Long term stays allowed"", ""Lockbox"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Hockey rink"", ""Iron"", ""Essentials"", ""Dining table"", ""Free washer \u2013 In building"", ""Kitchen"", ""Freezer"", ""Conditioner"", ""Body soap"", ""Free dryer \u2013 In building"", ""Smoke alarm"", ""Outdoor furniture"", ""Fire extinguisher"", ""TV"", ""Garden view"", ""Cleaning products"", ""Dishes and silverware"", ""Hot water kettle"", ""Shared backyard \u2013 Not fully fenced"", ""Outdoor playground"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Shampoo"", ""Clothing storage"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Oven"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Fast wifi \u2013 96 Mbps"", ""Refrigerator"", ""Private entrance"", ""Microwave"", ""Paid street parking off premises"", ""Beach access \u2013 Beachfront"", ""Dishwasher"", ""Self check-in"", ""Shower gel"", ""Coffee maker""]",4,90,151,4.55,17.946391430965676,59.333541377010455,Charming two room apartment. Close to inner city.,"Close to nature, water and inner city life. Close to subway station Abrahamsberg, around 10 min with subway to inner city. Balcony facing a green area. The apartment is located at a blind alley so calm with almost no traffic. Double bed in bedroom (160cm) and sofa bed for 2 persons (160 cm) in the living room. Wifi. Kitchen with dishwasher. Bathroom with heated floor. Laundry in the basement. Towels and bed sheets are included. Welcome!",0.9615384615384616
939567156571999433,1617.0,Älvsjö,Entire home/apt,3.0,1.5,6,"[""Washer"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Essentials"", ""Lake view"", ""Kitchen"", ""Freezer"", ""Smoke alarm"", ""TV"", ""Garden view"", ""Dishes and silverware"", ""Heating"", ""BBQ grill"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Patio or balcony"", ""Oven"", ""Refrigerator"", ""Private entrance"", ""Free street parking"", ""Dishwasher"", ""Coffee maker""]",1,1125,1,5.0,17.9767,59.27452,Holiday home in Älvsjö near Stockholm | Se13028,"In this holiday home, you are close to swimming, fishing, nature and shopping in Stockholm City. The house is about 100 square meters and is located in Älvsjö. There is sleeping space for 6 people in three bedrooms. In two of the bedrooms there is a single bed that is 105 cm and a mattress that is 90 cm and in one bedroom there is a double bed. The kitchen is equipped with most of what is needed for successful cooking, there is also a living room with sofa and Tv.",
37822122,1629.0,Bromma,Entire home/apt,1.0,1.0,5,"[""Clothing storage: closet and dresser"", ""Wine glasses"", ""Hangers"", ""Long term stays allowed"", ""Lockbox"", ""Lake access"", ""Paid parking lot on premises \u2013 1 space"", ""Wifi"", ""Pets allowed"", ""Iron"", ""Essentials"", ""Dining table"", ""Kitchen"", ""Handsoap  body soap"", ""Freezer"", ""Smoke alarm"", ""Fire extinguisher"", ""Standalone high chair - available upon request"", ""Dishes and silverware"", ""Shared beach access"", ""Free driveway parking on premises \u2013 1 space"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Extra pillows and blankets"", ""Oven"", ""Refrigerator"", ""Private entrance"", ""Microwave"", ""Dishwasher"", ""42 inch HDTV with Apple TV"", ""Self check-in"", ""Crib""]",3,30,33,4.88,17.97349,59.32731,Charming modern accommodation near Stockholm City,Bright stylish loft on two floors. Fully equipped kitchen and with nice material choices. Renovated bathroom and kitchen. Only 150 meters to tram. Uniquely beautiful area in Stockholm close to the city center with nice walking paths and walking distance to swimming.,1.0
589874098836154911,753.0,Östermalms,Private room,1.0,1.0,2,"[""Washer"", ""Dedicated workspace"", ""Kitchen"", ""Wifi"", ""Smoke alarm""]",20,365,15,4.87,18.08081,59.34026,Clean room in central Östermalm - close to metro,"Enjoy a elegant room in a very central part of Stockholm. Light and comfortable room with bed (120 cm), desk, sofa, and shelves. We have a shared bathroom. You have access to the kitchen, which you share with my son and our dog.",1.0
720083776330842193,1157.0,Norrmalms,Entire home/apt,0.0,1.0,4,"[""Washer"", ""Hair dryer"", ""Lockbox"", ""Wifi"", ""Exterior security cameras on property"", ""Iron"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Freezer"", ""Smoke alarm"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Shampoo"", ""Bed linens"", ""Stove"", ""Patio or balcony"", ""Oven"", ""Refrigerator"", ""Microwave"", ""Dishwasher"", ""Self check-in"", ""Shower gel""]",1,365,101,4.72,18.0382,59.34822,Lovely Studio with cozy Balcony in Vasastan !,Enjoy a stylish experience at this Lovely Studio located in Vasastan. <br /><br />For business trip or Tourism.  The studio is one station from the very centre of Stockholm.  The place is equipped with all you need for a short or long stay.<br /><br />You are much welcome!,0.9649122807017544
999334430335004568,800.0,Östermalms,Private room,1.0,2.0,1,"[""Shared backyard"", ""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Long term stays allowed"", ""Host greets you"", ""Bathtub"", ""Wifi"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Coffee maker: espresso machine"", ""Pets allowed"", ""Radiant heating"", ""Exterior security cameras on property"", ""Iron"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Freezer"", ""Coffee"", ""Body soap"", ""Other stove"", ""Smoke alarm"", ""Fire extinguisher"", ""Waterfront"", ""TV"", ""Cleaning products"", ""Free washer"", ""Dishes and silverware"", ""Hot water"", ""Room-darkening shades"", ""BBQ grill"", ""Cooking basics"", ""Bed linens"", ""Gagginau refrigerator"", ""Fire pit"", ""Oven"", ""Books and reading material"", ""Dedicated workspace"", ""Outdoor dining area"", ""Microwave"", ""Dishwasher"", ""Clothing storage: closet, wardrobe, and dresser""]",4,365,3,5.0,18.09251950630151,59.339166470753966,Best location room in city center/near everything,"Enjoy an elegant experience at this centrally located Penthouse room accommodation in the most exclusive area right in the heart of Stockholm city. You have museums, parks, Gröna Lund, Skansen and much more within walking distance. All the connections you can imagine are right outside your door. With everything you could possibly need nearby, book your stay now for an unforgettable experience!",1.0
