comments,sentiment
"The apartment was generally accurate to the pictures with the bedroom, living room and kitchen all being comfortable. The bathroom, and particularly the towels, were underwhelming. My biggest complaint with our stay was the logistical problem we faced in entering the building. Essentially me and my girlfriend were locked out of the apartment at 2am because we were not notified by the host that the code entry is not active past 9pm. We were eventually able to reach the host after multiple calls, but still were very upset we had to be locked out for almost a half hour in the middle of the night. After this experience, we will surely think twice about using Air B&B again as the benefit of potential cost savings and comfort versus a hotel are outweighed by the situation we experienced in this stay.",NEGATIVE
"First, the location is great and the people staying at the hostel were very nice. However, I did not feel good about the experience. First, the apartment pictured in the ad is not the apartment we received. Second, the ad said it is a two bedroom apartment. It was a one bedroom with four bunkbeds. Third, the clothes washer pictured is not in your apartment. It is in the basement of the building and accessible to everyone else staying in the building. This means you can hang out in the basement and guard your clothes or you can skip using the laundry. Fourth, the ""private sauna"" described and pictured in the ad is not in your apartment. It is also in the basement of the building and, if I understood the instructions, turned on for one hour a day for men and one hour a day for women. Fifth, after we were in Norway we received an email which said: ""I just want to be clear beforehand this apartment is part of our hostel ...."" The email then informed us that we would need to rent sheets and towels unless we brought your own. If you really want to be perfectly clear about something, put that information in the ad before someone rents the place. Sixth, this is a commercial establishment (hostel) advertising on Airbnb. There is no host/guest relationship. We were shown to our apartment by the clerk managing the front desk. Summary: Good location but not as advertised.",NEGATIVE
"My Husband and I stayed at the apartment for 5 nights, part of our 16 day Scandinavian trip. Upon first arrival, the apartment is located with beautiful scenic views and refurbished to high standards. It was clean and well organised. Mansour was quick at responding to any enquiries that we had. Unfortunately, the apartment was not equipped for our basic needs and requires some thorough updating. Some examples are: No toaster, no oven (Microwave oven only), overrused and damaged pots/pans and cutlery, lack of toilet roll supply, etc. We felt that the place hadn't been updated for almost 2 years. For a self-catering option, we were very limited.",NEGATIVE
A small Sous-Terain-Appartement. We spent three days with 2 adults and 2 teenagers. It was narrow but worked. There is water pump in the Appartement which disturbs in the night. The Appartement should be cleaned better. It wasn‘t really proper.,NEGATIVE
"The place is well-equipped; e.g. it has a washer, microwave-oven, cot, so you can stay for longer time, if you wish. Unfortunately, we had issues with cleanliness: mould was present on several surfaces in the bathroom, on the frame of the windows, on flowerpots in the window.",NEGATIVE
This is an excellent place with an excellent host. But BEWARE it does not have WIFI and this is a big problem since it is not advertised. This impacted our trip negatively and we had to go chasing around for some internet and could not have the business meetings we needed properly etc. Otherwise the host was great (SMS and call only) and would stay there again if WIFI becomes available. Otherwise I would NOT recommend this apartment.,NEGATIVE
"The place is situated quite far from the centre, but conveniently in front of the metro station. First time we reached the station (in the evening) it felt eery. However, Amaniel was kind and readily available and came to pick us up to avoid confusion. There is not really anything good available in the locality. I did not like the surrounding too. About the room, it seems to be different from the pictures posted. The window was not opening properly and so the room was smelling, and if we could open the window our bedroom would have been directly accessible from the public balcony, that too easily. Kitchen utensils and bathroom were not well made, although might be temporary issue but we resorted to use minimal utensils than we do normally and use the microwave. Not my best Airbnb experience.",NEGATIVE
"This is a two Room flat. For those who value privacy and modesty, know that there is only ONE bedroom and those guest must trapse through the other room to reach the bathroom or the front door. There is inadequate lighting and closet space.",NEGATIVE
"A cozy apartment right in the old town of Stockholm and a walking distance to everything. The apartment is equipped with everything you may need, however it wasn't renoveted properly: the bedroomwindow couldn't be opened, bathroom door opening in reverse (the handle door must be pulled up to open it!). Moreover, it wasn't so clean as we were especting (I had the feeling - and smell- that the pillow cover in the bedroom was dirty!!! as well as the towls weren't smelling fresh). The Host wasn't so reactive with us, we had to push for his reply when we booked the apartment. We didin't see him during our staybut essential infromation about the house were provided. A bit expensive for what you get ...",NEGATIVE
Pros: 1. Location 2. Space 3. Renovated bathroom/kitchen 4. Affordable Cons: 1. The place NEEDS deep cleaning ASAP 2. We were not able to close the window in the bedroom at nights 3. The heating element in the living room was leaking and could therefore not be turned on. 4. The sofa in the living room is gross and needs deep cleaning 5. The shower head in the bathroom needs to get fixed,NEGATIVE
"Only downside was it was really hot so, with the windows open, the street was a bit noisy. But top place",NEGATIVE
"Located toward the edge of the Old Town near many restaurants and bars. VERY noisy--big construction site just across the street, and super early morning (well before 6 am) deliveries using handcarts bouncing over the cobblestone streets just outside--somehow the windows seem to let in an unusual amount of noise, and even with ear plugs it was difficult for me to sleep (not a usual problem for me at all!). The curtains also did not keep out a lot of light, so beware in the summer that the sun goes down very late and comes up very early, adding to the sleep disruption. Care of the unit seemed to be a bit negligent--there was leftover trash, empty bottles of stuff in the bathroom, questionably dirty towels in the bathroom, and leftover food gone bad in the fridge when I arrived. The owner was aware of problems with the washer before I arrived, and did not communicate these proactively. Check in was easy, and the host was responsive about the washer issue.",NEGATIVE
"Agneta's apartment is charming, but it is not suitable for four people. Especially if there are old people in your group. The apartment has two bedrooms on two floors, and one floor is actually a basement. The upstairs is small and the basement is large. But the stairs to the basement is too steep for old people to climb. These steps are also too steep and narrow to carry down large luggages. The basement doesn't have restroom and WIFI. So it could become difficult to assign rooms. The kitchen can only accommodate one person at a time. I could see that Agneta's room is perfect for an adult couple. It is nicely decorated and is very clean. The couple could leave luggages upstairs, and still have enough room. They could sleep downstairs. The downstairs bed is comfortable. Agneta's apartment is reasonably priced for this location for two people. It is conveniently located in the old town, close to the Palace, the Viking line and the old town square. A couple could definitely have a very romantic and enjoyable time here.",NEGATIVE
"The location of Agneta's place is perfect for a stay in Stockholm. the apartment was very clean but quite a bit darker than what the photos show. I was traveling with my mum who is in her 60's and the stairs down to the bedroom were too steep for her. I would not recommend this place for those traveling with older individuals or small children. Similarly, the street down to the front door is a bit steep with big cobble stones which she also struggled with. The generator for the apartment seems to be located in the bedroom downstairs which runs all night, as such I would recommend bringing ear plugs.",NEGATIVE
"A bit expensive compared to other Airbnb's we've used in the past, but the location was great. The apartment itself is very small, but it worked for what we needed. Be aware that the stairs to the bedroom downstairs are uneven and would be difficult to use for anyone with knee or hip problems. Also, the bath towels were very uncomfortable to use. Also something to be aware of is that you cannot adjust the temperature (per the instructions left by the owner), and there were times at night when we were either very hot or cold. Overall, though, a lovely apartment in a wonderful area of Stockholm!",NEGATIVE
We kind of managed but if you have suitcases with you than apartment spread in three levels very uncomfortable. We did not know this about the apartment,NEGATIVE
"Stockholm is a great city and the house is located in a lovely, leafy quiet suburb and is a 10-15 minute subway ride into the centre and is a unique 60s showpiece. There is nothing wrong with the property or location unfortunately we were just very let down by the host for this villa on the first night of a special occasion. A big group us planned a surprise trip for my sisters 40th birthday, unfortunately had our first day and arrival dampened as we were locked out with no help. Our host didn't respond to any of my messages that day so I wasn't sure what was happening for check in. I wasn't too worried as he is a super host and so I was under the impression he was meeting us as he didn't supply any additional details or provide any communication at all that day or the day before for check in at 4pm. We arrived to the house in the rain and thunder and no one was there to meet us and the front door was locked. I tried calling and messaging the host many times with no response at all. It had a coded door so we read the manual on the website and hoped he set the code according to the manual - nothing was set. We were stuck out in the suburbs with our luggage in the rain on a Friday, not an ideal start to a surprise birthday weekend break. Two of our party were pregnant and highly uncomfortable, so I felt awful for them as it is the suburbs there was no where for them to go and sit to wait or use the loo while we sorted out the problem. I called air bnb once I realised we weren't going to hear from our host and they were helpful, my contact was lovely and sympathetic. They were trying to contact the host too with no luck. We tried all the doors and found a side door which luckily wasn't locked and got in the house. We felt a bit uncomfortable going into the house via an unlocked side door but were reassured this was ok by the air bnb help desk. We had to leave our luggage in the house unsecured and unlocked as we had a birthday dinner planned in the city and we didn't want to stay in. We ended up missing our dinner reservations for my sister's birthday party which was disappointing, so we ended up walking around until we found somewhere that would take a big group at that time on a Friday night. We didn't hear from the host until 9pm, which is 5 hours from check in and we finally got a code for the locked front door that we could use the rest of the weekend. Really disappointing service from a super host and not ideal when you only have a short weekend in the city. Otherwise it was a lovely city and...",NEGATIVE
I did not have good memory unfortunately. It was not well prepared. Check in was delayed for over 1 hour. Even after 4pm cleannimg was not done. It was little strange to stop kids playing trumpling for the reason that kids did not take off shoes because it was outside and wet on trampoline.,NEGATIVE
The house is big and would be fine for a large group of adults but it wasn't child friendly. It is definitely quirky. The rugs and carpets were old. It seemed like the owner spent more time on making sure lighting inside the house was timed to stay on all night rather than fixing the myriad of wires sticking out from walls or fixing broken blinds.,NEGATIVE
This accomodation was not what I expected,NEGATIVE
"Mikael was a friendly host and he accommodated our late check-in. The apartment is well maintained and in a great location, easily accessible to public transportation and close enough to walk to many local attractions. Despite this, I cannot leave a positive review for this stay because the building is undergoing major renovations and we were woken up everything morning around 7am to construction, drilling, and workers yelling at one another on the balcony. It was very unpleasant for our short vacation. That being said, I would recommend staying here but only after the renovations are completed.",NEGATIVE
"Unfortunately the apartment was not what we expected from a super host. You can book the apartment for two people. There is only one bed with a width of 120 cm which doesn’t meet the standard and at least should be communicated in the announcement. There was only one blanket, one shower towel and one hand towel when we arrived. We didn’t meet our host in person, therefore we immediately wrote him after checking in, but we didn’t get an answer. His wife then showed up later in the evening with a second blanket and towel. The apartment, which by the way is cute and very well located, isn’t as clean as described, especially the bathroom. There is a cleaning fee of €35 included in the price, nevertheless we were requested to “undo the bed. Remove all bed linnen, the bed sheet and pillow cases and fold it a separate stack on the bed.” To “Take out the trash (don't forget the can in the bathroom).” Considering the status of the apartment and the to do list before leaving, one wonders what for they are getting payed. One the whole, the apartment is okay, for one (!) person, but not a super host",NEGATIVE
"Despite being great located, and having fairly reactive host, our overall impression was quite bad because of the conditions we met there. We had to pay extra for the sheets and towels which were very old and stained. We found hairs on the beds, or blood stains on duvet. One of the room was located in very dirtyband smelly basement full of spiders. There was a lot clutter, it seems that somebody lives there on daily basis. Fridge was dirty, so did lots of kitchen equipment, and barbecue. There was mold in the shower as well. Host didn't reacted on the comment related to dirt and cleanness problems. just told us to replace the sheets but it didn't really solve the problem. good patios to spend mornings and evenings there.",NEGATIVE
"We stayed at Marcus place for 6 days and the place has pro and cons. Pros are that the place is spacious and offers lots of potentials in terms of location, size, equipment and outside/inside seating. Also if you have a dog it is a great place as the area is fenced. What is not good is that the cleanliness of the entire place. Bathrooms havent been cleaned in a while and fresh towels havent been provided in all bath rooms. Kitchen was not clean enough e.g. mold and old coffee grounds in the coffee machines. Marcus is a very responsive host and if cleanliness is way better it can be a good place to stay.",NEGATIVE
"I wish for your next travelers they will not choose your apartment for their stays. First, update your profile pic, it is weird to meet someone retired when you expect a 35 year old host. Then, a little bit of cleaning don’t kill anybody. Having to pay a rent of 600€/month and also having to vacuum our own room is unacceptable ! And let’s not talk about bathroom/toilets... Despite of that, the location is quite good. I don’t recommend this place at all.",NEGATIVE
"This was a nightmare! Room for 8pers, without windows, just one doors, every minute some like inside. No breatheble, my worst experience with accomodition since I was born. Do not go there!",NEGATIVE
"You get what you see. Location, check in were top, unfortunately the room was not clean at all, dusty, it did not smell fresh, a bit dirty and after urine, the carpet is really rocked down, very sad! We (7 People in a 8 beds room) had to make the beds for our selves, didn’t know that. The woman at the check in was very nice, offered us alle coffee while I was checking in, location is super central!",NEGATIVE
"My friend and I were surprised by our experience at Sara's flat. She Did not show up upon arrival (which was fine) but failed to provide any ground rules or suggestions. Did not show us where to dispose of the garbage. She left her plants all over her small apartment (at least 10+), which made it hard to move around. We couldn't even move the plants ourselves Bc there was no room for us to put them. The washroom is incredibly small. Sink wasn't even large enough for us to wash our hands. For that reason, we used the only table available in her small studio apartment to place our toiletries bag on. I understand she lives in her apartment, however, she had so much of her own stuff in the apartment that it made it nearly impossible for us to place our belongings and luggage anywhere. She did make any room for us to actually take things out of our luggage. This made our stay very uncomfortable and crammed.",NEGATIVE
The place is ok but it gets freezing at night. You will need to bring multiple layers of clothing. The owner also gets upset if you use her kitchen which weird because most AirbnB this is standard,NEGATIVE
A little bit dusty and the bathroom was not cleaned at all. There's no room for saving your clothes. The rest of the apartment and location was nice.,NEGATIVE
Do not try this house. You will regret---------if so--------very much.,NEGATIVE
"The bathroom unfortunately smelt of mold /sewer and the floors hadn't been vaccumed, also no coffee machine or tea pot. We also were woken at 7am by loud drilling in the building. Other wise, the metro was really close and the bed was comfortable. We were also accused of scratching the floors which were false accusations. Had high hopes for this stay in Stockholm but sadly they were not met.",NEGATIVE
"It is a nice appartement, located in a good neigborhood, close to the metro, supermarket and the beach. Unfortunately an outside construction was gooing on, during our stay. We were informed about that 3 days in advance, so we didn't have a chance to book something else. The whole house was under construction, there was no balcony, our windows were covered with plastic, so we couldn't get fresh air or had a view at all. Because of the construction, there was a problem with the ventilation and all the dirt from outside was spread through the whole appartement. All our clothes were dirty and dusty an the whole appartement to. We couldn't leave the appartement, because there was no other place available. The construction seems like a longer thing, maybe till autum 2018. Before booking, ask, if the construction is still going on.",NEGATIVE
"The apartment is big, there were four of us and we had lots of space. Anna's friend Hans met us and was very kind. However there was no washer and dryer or free parking as the ad stated. We were especially counting on the washer and dryer as we had been traveling more than a week when we arrived in Stockholm..These two things cost us a lot of unexpected time to get our laundry done and money we had to spend that we weren't counting on. Frustration that could have been avoided if the ad had been correct. We were also left a two page checklist of how to clean the apartment before we left- including directions for scrubbing the toilet and mopping the floor. If I had known she wanted me to clean the apartment I never would have rented it. We have stayed in several Air BnB's over the years and this was such a disappointment. We really feel as though we were misled by the ad and the cleaning list was ridiculous.",NEGATIVE
"Due to Tailor Swift concert there were no hotel rooms to book in Stockholm that week and I had to book Airbnb. It was easy to communicate with Ewa (very nice person ) and the room is 20 min. walk near the Central station. I only stayed one day from 21:30 until next day 07:30. I must though say that the bed is very soft and not good. Best regards, Dorrit",NEGATIVE
"I really can't recommend this place to anyone. It's listed as energetic and eclectic, but in reality it's just a cluttered mess. The wiring is probably dangerous, the odors of incense lasted for four days (our entire trip), the fridge smelled awful, and there was no Wifi despite being listed. To cement this, our interactions with our host were very off putting. There were positives: great shower and a good location.",NEGATIVE
Never replied to my asking about the handover of the keys and then cancelled on Friday afternoon when we were supposed to arrive on Saturday morning. Ruined our Friday because we thought we would not be able to go. Organized a different apartment that only had one actual bed even though we had booked a place for four people. Would not recommend this host.,NEGATIVE
"Pros: Great restaurants and easy to get downtown with buses just around the corner. Cons: There was no place to put your personal belongings, clothes away. All closets were full. Maybe this was my own fault and I should have checked all bedrooms but, except for master bedroom, the other 3 beds were for young kids and not adults. There was no way my 32 year old son could sleep in the top bunk bed. So he ended up on the couch for most of the week. Not ideal.",NEGATIVE
"The house is great, beautiful and in a great location. Great that there are linens and towels available. But the host needs to improve the relationship with the customers. In fact, I had difficulty contacting the host. In two months I never saw him and especially at the beginning of my stay I didn't receive important information such as information on recycling (which I couldn't do as I didn't have the keys to open the bins), on heating the house, wifi password etc. No response to my calls and response to messages even 5 days late. The first day I came into the house I had to hang the laundry he had left in the washing machine.",NEGATIVE
"Orhan's apartment is 5 minutes away from the metro in a nice area with supermarkets and restaurants nearby, the location is perfect. Unfortunately, the apartment was pretty dirty, the sofa was supposed to be white, but looked grey with ingrained grime. 50% of the furniture that was in the pictures on the site had been changed to more basic, uglier options, ie table and chairs, coffee table and sofa. The fridge contained old food, leftovers which was yucky to clean. No instructioes were given as to garbage disposal/recycling. I had to rely on local friends for info on that. The pillows were old and the bed unmade when I got there. Mattress was too soft and uncomfortable, i am guessing old. There were old/dirty facemasks in the bedside table, along with dirty slippers and personal laundry hanging in the closet to dry. Towels were fraying. To top it all off there was no coffee machine and when I enquired (since it was listed) I was told to put coffee in a pot with water to make coffee. It took five days to get a coffee machine delivered, it finally arrived with complimentary capsules and chocolates. Check in was awkward since no instructions given and a bit nerve-wracking, same as check out, I wrote to Orhan the night before and only received a response five minutes before I left, I was going to leave the key by the door, since I did not know what to do with it. All in all a regrettable experience, as a new host it will help me think about what NOT to do in my own airbnb.",NEGATIVE
Very bad! They were very rude! The place smelled like weed and the host was making soooo much noise we were honestly so scared and would never recomend this! They were aggressive and seemd racist,NEGATIVE
"Please change out your iron. When we tried to use it, it shut down the electricity in the whole house and we had to borrow from the neighbors.",NEGATIVE
"This is a really nice house in a great location for accessing the Nacka nature reserve. I’ve stayed here before and got along well with the owner. Unfortunately this time my stay wasn’t so pleasant. Uffe was renting to a couple on a longer term basis -outside of AirBnB. They were very hostile on my arrival, in the absence of the owner. They took exception when I said I would isolate and take a corona test, as per Swedish Covid 19 guidelines. I think because they didn’t want to follow the guidelines themselves, or be asked to isolate if I were to test positive (I tested negative on day three). “We don’t believe in Corona virus” they said. The hostility continued when they said the next day: “why don’t you get a place on your own?” and demanded that I go with them to speak to the owner, eventually Uffe intervened as he was in the next room. On arrival Uffe said there was no breakfast, but would get some, a few days later he said he would stop breakfast because his guests were long-term, offering a 500 SEK note as compensation for breakfasts for my three-week stay. I accepted, though I thought it was a bit on the low side. I started to realise the house was very dirty, I cleaned the shared bathroom myself as it was pretty unhygienic. Raising this with Uffe on the morning I left, he apologised that there had been no cleaning for some months. Uffe warned me about the two guests (a couple from Germany) “They will try and convert you” he told me. Sure enough they did become more vocal about their anti-lockdown, anti-facemask and vaccine-sceptic views. They told me they had come to Sweden to escape the lockdown in Germany and pursue their activism in Stockholm. Uffe was somewhat critical of Corona policy but less extreme than his guests “It's really overblown” he said. He wanted me to have dinner with them, I declined with a polite excuse. Uffe didn’t appear to appreciate how uncomfortable this might be for other guests, or that it may have been a good idea to mention it before arrival. Given that he knew how extreme their behaviour was, I think he could have acted to prevent it getting further out of hand. I was able to enjoy Stockholm outside of the house and use my own skis in the forest, which was wonderful. I avoided conflict by being outside and staying in my room more, but would have liked to use the communal areas more. Four days before I left, the couple started up again at breakfast, asking: ”Would I take the vaccine?” when I answered “Yes” they started to argue very aggressively. I was trying to finish my breakfast and was backing out of the door, I felt attacked for answering their question with a very moderate/ mainstream view. The man gestured aggressively to his laptop screen: “look at the graphs, .. you won’t look at the graphs, are you scared?”. The tone of the conversation was beyond just expressing a view -it was very antagonistic. I remember thinking “jeez, I’m actually paying for this”. I told Uffe straight after I’d gotten free of it, I told him that I felt harassed in a shared space in the house. I said I no longer have fair access to the kitchen with the other guests using it for their campaign work, filling the table with two laptops. He offered me to sit in his office to eat breakfast, which is advertised as a really nice looking living room on the Airbnb website. The reality is that this is now his office where he works each day and a storage space full of boxes, books and papers. It’s was a real mess in there. I did try to use it the following morning and there was even more stuff on the sofa and table. For a while the other guests went away and it was easier, but when they came back they continued to take the kitchen -closing the kitchen door and taking over the table for their campaign against the lockdown. They were organising a demonstration in the city. It was an accumulation of bad experiences really: The harassment by the guests, Uffe’s failure to warn me and get on top of that. The lack of cleaning (while displaying ‘enhanced cleaning’ in the advert). The lack of breakfast, the false picture of the living room. I felt like I’d been taken for a ride. I reached out to Uffe for a refund. He offered me 2000 SEK cash. I’d had such a bad time that I asked for a refund of half the fee (it was by the time I left, the worst hotel/ BnB experiences I’d ever had). He accepted but it turned out this was conditional that I didn’t mention it to AirBnB, so he withdrew from any refund. To clarify I had reached out to BnB initially to register a complaint against the other guests, but because they asked me more questions that turned into a wider enquiry by AirBnB.",NEGATIVE
"Nice garden and full kitchen, though communication with the host wasn’t great.",NEGATIVE
"Pros: Location ok, the room was a good size. Cons: The sheets were dirty on arrival (hair and other indications they had not been washed). I asked the owner nicely if these could be changed (or laundered immediately) and he refused to address the issue. Further he became angry and shouted as I nicely tried to find a solution. I ended up sleeping on a towel - which sounds uncomfortable, but the bed was actually worse. It was saggy and very uncomfortable. Most hosts are happy to provide local transit information - I was wondering about how to get to the airport from the metro line. I was never able to get a clear answer and so I ended up going to the metro station and find out from a helpful attendant. The directions to the apartment are complex - I asked the owner to email them to me because offline access has never worked well for me in the airbnb app - and email works great. He wouldn't take this step (despite more than one ask) - which is very different from other hosts who usually accommodate the guest's preferred way to communicate and strive to make things simple. Overall, I would not stay there again.",NEGATIVE
"The apartment has a good location, in a green area with 2 supermarkets nearby. The bus station is very close and there is a bus which connects with the center of the city. The apartment is nice, modern and well equipped. However, it wasn't very clean. We found dust everywhere and the bathroom and sanitary ware were not clean. Moreover, the small room is full of toys even on the ground, so you don't have any space for personal stuff.",NEGATIVE
"My worst AirBnb experience. It was quite cold in the place but it’s an old apartment so we expected that and brought some warm clothes. And than we realised that there is NO HOT WATER in this apartment. To be precise somehow we had 2 hours of hot water in the morning between 8 and 10 to have a shower. But the reason we chose this apartment is because of the bath. And I literally cried of disappointment when I couldn’t get a chance to use it and relax. I was waiting for this vacation for months and this place ruined it. The response from the host was especially disappointing. All the emergency phones weren’t available (at 4pm on a Saturday) and we got an answer at night. The reply was that they “were sorry” but nothing can be done (to be fair they did bring us keys from another apartment with a working shower after 24 hours). We’ve been told that we could use her personal jacuzzi “but I live to far”. No regrets, no discount, no simple empathy, just “sorry, I don’t know anything”.",NEGATIVE
"The location is excellent, and the apartment offers beautiful views of Stockholm's rooftops. However, there is an issue with the skylight window in the bedroom, which doesn't close fully. This allows noise and cold air to constantly seep in from outside. Additionally, the apartment is managed by an agency that seems somewhat indifferent. As a result, you shouldn't expect basic provisions like salt or other essentials to be available upon arrival. No instructions were provided for the heating, despite nighttime temperatures dropping to 8°C.",NEGATIVE
"Easy and flexible check in. Apartment was quite clean, but lacking some basic amenities (shampoo, conditioner etc.) which would be easy to fix. There is a very large window in the bedroom which was open at the very top and impossible to reach, which meant we had to listen to the loud city sounds overnight and made it difficult to sleep. Not a deal breaker, but bring your earplugs.",NEGATIVE
"The apartment is in a top tier location and the building itself is great. The host also allowed early check in, which was a huge bonus. The apartment has some noticeable issues, however. There was a noticeable, constant smell of garbage in the bathroom. Also, the second bedroom had a hole in the ceiling. In the bedroom itself, there was no side wall windows, and there was noticeable bubbling on the wall, presumably suggesting water damage in the unit. Overall, the location is impossible to beat, but you just have to be willing to sacrifice some quality in terms of the unit. The views from the unit are incredible and the building itself is very secure.",NEGATIVE
"It's unpleasant to write anything negative because I can tell that this host is generally conscientious, and the apartment is very comfortable. However, our stay was ruined by extraordinary construction noise (to the point that we could not hear each other speak), blight due to scaffolding that blocked the living room windows entirely, and the presence of workers using jackhammers on the balcony in the afternoons (during our son's nap time). I suggest making sure that the balcony construction is complete before staying here.",NEGATIVE
I think compared to other accommodation options in the area we needed to stay this was reasonablely priced. Just disappointed that the shower head was broken and held up by a hairclip. If it was 1 night then would have put up with it but just made showering annoying for a week there. The photos made the apartment look larger and cleaner than it was and we were not aware of the 'folding' shower - foreign in our country. They were contactable and helpful. Also disappointed that small things like no tea towels and there were limited paper towels. Not sufficient hand soap allocated and we ended up buying toilet paper. Not sure on what others expect when for staying this long in a place but those little things help out or at least clear expectations should be communicated.,NEGATIVE
"I have to admit to being quite disappointed with my experience of this apartment. It was clean and in a great location, but it was much shabbier and smaller than it looked in the photographs. It really could do with a refurb. It's a shame because as I said the location is lovely and overall the cleanliness was good, but there are definitely nicer spots in Gamla Stan.",NEGATIVE
"IKEA style flat, very lovely and clean! But a bit far away from translations and not very soundproof. The wifi was really unstable sometime even cannot be connected!",NEGATIVE
"A good cosy apartment for a couple of days in stockholm, only problem was the noise coming from the apartment above and you could hear steps quite loudly and also loud talking. Easy access to stockholm centre via train. Did not meet the host at any time, and asked for some advice via airbnb on the day before we arrived and never got a reply which was quite disappointing.",NEGATIVE
"Isolation is reaal bad. You could hear speech of house-owner and they could hear you also. Entry of house was not good, allways you feel bad yourself...",NEGATIVE
